team1,team2,season,toss_winner,toss_decision,winner,venue,result,result_margin,target_runs
Kings XI Punjab,Rajasthan Royals,2,Kings XI Punjab,field,Rajasthan Royals,Kingsmead,runs,78.0,212.0
Delhi Daredevils,Kolkata Knight Riders,2,Kolkata Knight Riders,bat,Delhi Daredevils,Kingsmead,wickets,9.0,155.0
Deccan Chargers,Mumbai Indians,2,Deccan Chargers,bat,Deccan Chargers,SuperSport Park,runs,19.0,146.0
Chennai Super Kings,Kings XI Punjab,2,Chennai Super Kings,bat,Chennai Super Kings,SuperSport Park,wickets,7.0,106.0
Royal Challengers Bangalore,Rajasthan Royals,2,Rajasthan Royals,field,Rajasthan Royals,SuperSport Park,runs,12.0,187.0
Delhi Daredevils,Mumbai Indians,2,Mumbai Indians,bat,Delhi Daredevils,Buffalo Park,wickets,7.0,117.0
Chennai Super Kings,Rajasthan Royals,2,Rajasthan Royals,bat,Chennai Super Kings,De Beers Diamond Oval,wickets,3.0,169.0
Deccan Chargers,Kings XI Punjab,2,Kings XI Punjab,field,Kings XI Punjab,De Beers Diamond Oval,wickets,7.0,141.0
Royal Challengers Bangalore,Mumbai Indians,2,Mumbai Indians,bat,Mumbai Indians,St George's Park,runs,16.0,158.0
Delhi Daredevils,Kolkata Knight Riders,2,Delhi Daredevils,field,Delhi Daredevils,New Wanderers Stadium,wickets,7.0,124.0
Deccan Chargers,Rajasthan Royals,2,Deccan Chargers,bat,Deccan Chargers,De Beers Diamond Oval,runs,53.0,167.0
Royal Challengers Bangalore,Kolkata Knight Riders,2,Royal Challengers Bangalore,field,Royal Challengers Bangalore,SuperSport Park,wickets,6.0,174.0
Kings XI Punjab,Mumbai Indians,2,Kings XI Punjab,bat,Mumbai Indians,SuperSport Park,wickets,8.0,120.0
Deccan Chargers,Delhi Daredevils,2,Deccan Chargers,field,Delhi Daredevils,Kingsmead,runs,12.0,174.0
Royal Challengers Bangalore,Chennai Super Kings,2,Chennai Super Kings,bat,Royal Challengers Bangalore,Kingsmead,wickets,2.0,130.0
