team1,team2,season,toss_winner,toss_decision,winner,venue,result,result_margin,target_runs
Royal Challengers Bangalore,Delhi Daredevils,10,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,M.Chinnaswamy Stadium,wickets,6.0,164.0
Kings XI Punjab,Rising Pune Supergiant,10,Kings XI Punjab,field,Kings XI Punjab,Holkar Cricket Stadium,runs,15.0,158.0
Sunrisers Hyderabad,Gujarat Lions,10,Sunrisers Hyderabad,field,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",wickets,9.0,136.0
Mumbai Indians,Kolkata Knight Riders,10,Mumbai Indians,field,Mumbai Indians,Wankhede Stadium,wickets,4.0,179.0
Kings XI Punjab,Royal Challengers Bangalore,10,Royal Challengers Bangalore,bat,Kings XI Punjab,Holkar Cricket Stadium,wickets,8.0,149.0
Rising Pune Supergiant,Delhi Daredevils,10,Rising Pune Supergiant,field,Delhi Daredevils,Maharashtra Cricket Association Stadium,runs,97.0,206.0
Mumbai Indians,Sunrisers Hyderabad,10,Mumbai Indians,field,Mumbai Indians,Wankhede Stadium,wickets,4.0,159.0
Kolkata Knight Riders,Kings XI Punjab,10,Kolkata Knight Riders,field,Kolkata Knight Riders,Eden Gardens,wickets,8.0,171.0
Royal Challengers Bangalore,Mumbai Indians,10,Mumbai Indians,field,Mumbai Indians,M Chinnaswamy Stadium,wickets,4.0,143.0
Gujarat Lions,Rising Pune Supergiant,10,Gujarat Lions,field,Gujarat Lions,Saurashtra Cricket Association Stadium,wickets,7.0,172.0
Delhi Daredevils,Kings XI Punjab,10,Delhi Daredevils,bat,Delhi Daredevils,Feroz Shah Kotla,runs,17.0,173.0
Kolkata Knight Riders,Sunrisers Hyderabad,10,Sunrisers Hyderabad,field,Kolkata Knight Riders,Eden Gardens,runs,51.0,189.0
Royal Challengers Bangalore,Rising Pune Supergiant,10,Royal Challengers Bangalore,field,Rising Pune Supergiant,M Chinnaswamy Stadium,wickets,6.0,177.0
Mumbai Indians,Gujarat Lions,10,Mumbai Indians,field,Mumbai Indians,Wankhede Stadium,runs,27.0,162.0
Delhi Daredevils,Kolkata Knight Riders,10,Delhi Daredevils,bat,Kolkata Knight Riders,Feroz Shah Kotla,wickets,4.0,169.0
Sunrisers Hyderabad,Kings XI Punjab,10,Kings XI Punjab,field,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",runs,5.0,160.0
Gujarat Lions,Royal Challengers Bangalore,10,Gujarat Lions,field,Royal Challengers Bangalore,Saurashtra Cricket Association Stadium,runs,21.0,214.0
Sunrisers Hyderabad,Delhi Daredevils,10,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",runs,15.0,192.0
Kings XI Punjab,Mumbai Indians,10,Mumbai Indians,field,Mumbai Indians,Holkar Cricket Stadium,wickets,8.0,199.0
Kolkata Knight Riders,Gujarat Lions,10,Gujarat Lions,field,Gujarat Lions,Eden Gardens,wickets,4.0,188.0
Rising Pune Supergiant,Sunrisers Hyderabad,10,Rising Pune Supergiant,field,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,runs,14.0,143.0
Mumbai Indians,Delhi Daredevils,10,Delhi Daredevils,field,Mumbai Indians,Wankhede Stadium,wickets,6.0,177.0
Kolkata Knight Riders,Royal Challengers Bangalore,10,Royal Challengers Bangalore,field,Kolkata Knight Riders,Eden Gardens,runs,26.0,189.0
Gujarat Lions,Kings XI Punjab,10,Gujarat Lions,field,Kings XI Punjab,Saurashtra Cricket Association Stadium,runs,82.0,132.0
Mumbai Indians,Rising Pune Supergiant,10,Mumbai Indians,field,Rising Pune Supergiant,Wankhede Stadium,runs,3.0,161.0
Rising Pune Supergiant,Kolkata Knight Riders,10,Kolkata Knight Riders,field,Kolkata Knight Riders,Maharashtra Cricket Association Stadium,wickets,7.0,183.0
Royal Challengers Bangalore,Gujarat Lions,10,Gujarat Lions,field,Gujarat Lions,M Chinnaswamy Stadium,wickets,7.0,135.0
Kings XI Punjab,Sunrisers Hyderabad,10,Kings XI Punjab,field,Sunrisers Hyderabad,"Punjab Cricket Association IS Bindra Stadium, Mohali",wickets,7.0,161.0
Kolkata Knight Riders,Delhi Daredevils,10,Kolkata Knight Riders,field,Kolkata Knight Riders,Eden Gardens,runs,26.0,208.0
Rising Pune Supergiant,Royal Challengers Bangalore,10,Royal Challengers Bangalore,field,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,runs,61.0,158.0
Sunrisers Hyderabad,Kolkata Knight Riders,10,Kolkata Knight Riders,field,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",wickets,10.0,68.0
Kings XI Punjab,Delhi Daredevils,10,Kings XI Punjab,field,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",runs,48.0,210.0
Rising Pune Supergiant,Gujarat Lions,10,Rising Pune Supergiant,field,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,wickets,5.0,163.0
Mumbai Indians,Royal Challengers Bangalore,10,Royal Challengers Bangalore,bat,Mumbai Indians,Wankhede Stadium,wickets,5.0,162.0
Delhi Daredevils,Sunrisers Hyderabad,10,Delhi Daredevils,field,Delhi Daredevils,Feroz Shah Kotla,wickets,6.0,186.0
Kolkata Knight Riders,Rising Pune Supergiant,10,Rising Pune Supergiant,field,Rising Pune Supergiant,Eden Gardens,wickets,4.0,156.0
Delhi Daredevils,Gujarat Lions,10,Delhi Daredevils,field,Delhi Daredevils,Feroz Shah Kotla,wickets,7.0,209.0
Royal Challengers Bangalore,Kings XI Punjab,10,Royal Challengers Bangalore,field,Kings XI Punjab,M Chinnaswamy Stadium,runs,19.0,139.0
Delhi Daredevils,Mumbai Indians,10,Delhi Daredevils,field,Mumbai Indians,Feroz Shah Kotla,runs,12.0,149.0
Sunrisers Hyderabad,Rising Pune Supergiant,10,Sunrisers Hyderabad,field,Rising Pune Supergiant,"Rajiv Gandhi International Stadium, Uppal",runs,146.0,213.0
Royal Challengers Bangalore,Kolkata Knight Riders,10,Kolkata Knight Riders,field,Kolkata Knight Riders,M Chinnaswamy Stadium,wickets,6.0,159.0
Kings XI Punjab,Gujarat Lions,10,Gujarat Lions,field,Gujarat Lions,"Punjab Cricket Association IS Bindra Stadium, Mohali",wickets,6.0,190.0
Sunrisers Hyderabad,Mumbai Indians,10,Mumbai Indians,bat,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",wickets,7.0,139.0
Kings XI Punjab,Kolkata Knight Riders,10,Kolkata Knight Riders,field,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",runs,14.0,168.0
Gujarat Lions,Delhi Daredevils,10,Delhi Daredevils,field,Delhi Daredevils,Green Park,wickets,2.0,196.0
Mumbai Indians,Kings XI Punjab,10,Mumbai Indians,field,Kings XI Punjab,Wankhede Stadium,runs,7.0,231.0
Delhi Daredevils,Rising Pune Supergiant,10,Delhi Daredevils,bat,Delhi Daredevils,Feroz Shah Kotla,runs,7.0,169.0
Kolkata Knight Riders,Mumbai Indians,10,Kolkata Knight Riders,field,Mumbai Indians,Eden Gardens,wickets,8.0,155.0
Gujarat Lions,Sunrisers Hyderabad,10,Sunrisers Hyderabad,field,Sunrisers Hyderabad,Green Park,runs,9.0,174.0
Delhi Daredevils,Royal Challengers Bangalore,10,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Feroz Shah Kotla,wickets,9.0,74.0
Rising Pune Supergiant,Kings XI Punjab,10,Rising Pune Supergiant,field,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,runs,10.0,162.0
Mumbai Indians,Rising Pune Supergiant,10,Mumbai Indians,field,Rising Pune Supergiant,Wankhede Stadium,runs,20.0,163.0
Sunrisers Hyderabad,Kolkata Knight Riders,10,Kolkata Knight Riders,field,Kolkata Knight Riders,M Chinnaswamy Stadium,wickets,7.0,48.0
Mumbai Indians,Kolkata Knight Riders,10,Mumbai Indians,field,Mumbai Indians,M Chinnaswamy Stadium,wickets,6.0,108.0
Mumbai Indians,Rising Pune Supergiant,10,Mumbai Indians,bat,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",runs,1.0,130.0
Mumbai Indians,Chennai Super Kings,11,Chennai Super Kings,field,Chennai Super Kings,Wankhede Stadium,wickets,1.0,166.0
Delhi Daredevils,Kings XI Punjab,11,Kings XI Punjab,field,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,wickets,6.0,167.0
Royal Challengers Bangalore,Kolkata Knight Riders,11,Kolkata Knight Riders,field,Kolkata Knight Riders,Eden Gardens,wickets,4.0,177.0
Rajasthan Royals,Sunrisers Hyderabad,11,Sunrisers Hyderabad,field,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,wickets,9.0,126.0
Kolkata Knight Riders,Chennai Super Kings,11,Chennai Super Kings,field,Chennai Super Kings,MA Chidambaram Stadium,wickets,5.0,203.0
Rajasthan Royals,Delhi Daredevils,11,Delhi Daredevils,field,Rajasthan Royals,Sawai Mansingh Stadium,runs,10.0,71.0
Mumbai Indians,Sunrisers Hyderabad,11,Sunrisers Hyderabad,field,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,wickets,1.0,148.0
Kings XI Punjab,Royal Challengers Bangalore,11,Royal Challengers Bangalore,field,Royal Challengers Bangalore,M.Chinnaswamy Stadium,wickets,4.0,156.0
Mumbai Indians,Delhi Daredevils,11,Delhi Daredevils,field,Delhi Daredevils,Wankhede Stadium,wickets,7.0,195.0
Kolkata Knight Riders,Sunrisers Hyderabad,11,Sunrisers Hyderabad,field,Sunrisers Hyderabad,Eden Gardens,wickets,5.0,139.0
Rajasthan Royals,Royal Challengers Bangalore,11,Royal Challengers Bangalore,field,Rajasthan Royals,M.Chinnaswamy Stadium,runs,19.0,218.0
Kings XI Punjab,Chennai Super Kings,11,Chennai Super Kings,field,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,runs,4.0,198.0
Kolkata Knight Riders,Delhi Daredevils,11,Delhi Daredevils,field,Kolkata Knight Riders,Eden Gardens,runs,71.0,201.0
Mumbai Indians,Royal Challengers Bangalore,11,Royal Challengers Bangalore,field,Mumbai Indians,Wankhede Stadium,runs,46.0,214.0
Rajasthan Royals,Kolkata Knight Riders,11,Kolkata Knight Riders,field,Kolkata Knight Riders,Sawai Mansingh Stadium,wickets,7.0,161.0
Kings XI Punjab,Sunrisers Hyderabad,11,Kings XI Punjab,bat,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,runs,15.0,194.0
Chennai Super Kings,Rajasthan Royals,11,Rajasthan Royals,field,Chennai Super Kings,Maharashtra Cricket Association Stadium,runs,64.0,205.0
Delhi Daredevils,Royal Challengers Bangalore,11,Royal Challengers Bangalore,field,Royal Challengers Bangalore,M.Chinnaswamy Stadium,wickets,9.0,125.0
Kolkata Knight Riders,Kings XI Punjab,11,Kings XI Punjab,field,Kings XI Punjab,Eden Gardens,wickets,6.0,175.0
Mumbai Indians,Rajasthan Royals,11,Mumbai Indians,bat,Rajasthan Royals,Sawai Mansingh Stadium,runs,4.0,183.0
Chennai Super Kings,Sunrisers Hyderabad,11,Sunrisers Hyderabad,field,Chennai Super Kings,Rajiv Gandhi International Stadium,wickets,3.0,168.0
Kings XI Punjab,Delhi Daredevils,11,Delhi Daredevils,field,Kings XI Punjab,Arun Jaitley Stadium,runs,4.0,144.0
Sunrisers Hyderabad,Mumbai Indians,11,Mumbai Indians,field,Sunrisers Hyderabad,Wankhede Stadium,runs,31.0,119.0
Royal Challengers Bangalore,Chennai Super Kings,11,Chennai Super Kings,field,Chennai Super Kings,M.Chinnaswamy Stadium,wickets,5.0,206.0
Sunrisers Hyderabad,Kings XI Punjab,11,Kings XI Punjab,field,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,runs,13.0,133.0
Delhi Daredevils,Kolkata Knight Riders,11,Kolkata Knight Riders,field,Delhi Daredevils,Arun Jaitley Stadium,runs,55.0,220.0
Chennai Super Kings,Mumbai Indians,11,Mumbai Indians,field,Mumbai Indians,Maharashtra Cricket Association Stadium,wickets,8.0,170.0
Sunrisers Hyderabad,Rajasthan Royals,11,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,Sawai Mansingh Stadium,runs,11.0,152.0
Royal Challengers Bangalore,Kolkata Knight Riders,11,Kolkata Knight Riders,field,Kolkata Knight Riders,M.Chinnaswamy Stadium,wickets,6.0,176.0
Chennai Super Kings,Delhi Daredevils,11,Delhi Daredevils,field,Chennai Super Kings,Maharashtra Cricket Association Stadium,runs,13.0,212.0
Royal Challengers Bangalore,Mumbai Indians,11,Mumbai Indians,field,Royal Challengers Bangalore,M.Chinnaswamy Stadium,runs,14.0,168.0
Delhi Daredevils,Rajasthan Royals,11,Rajasthan Royals,field,Delhi Daredevils,Arun Jaitley Stadium,runs,4.0,151.0
Chennai Super Kings,Kolkata Knight Riders,11,Kolkata Knight Riders,field,Kolkata Knight Riders,Eden Gardens,wickets,6.0,178.0
Kings XI Punjab,Mumbai Indians,11,Mumbai Indians,field,Mumbai Indians,Holkar Cricket Stadium,wickets,6.0,175.0
Royal Challengers Bangalore,Chennai Super Kings,11,Chennai Super Kings,field,Chennai Super Kings,Maharashtra Cricket Association Stadium,wickets,6.0,128.0
Delhi Daredevils,Sunrisers Hyderabad,11,Delhi Daredevils,bat,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,wickets,7.0,164.0
Rajasthan Royals,Kings XI Punjab,11,Kings XI Punjab,field,Kings XI Punjab,Holkar Cricket Stadium,runs,13.0,182.0
Mumbai Indians,Kolkata Knight Riders,11,Kolkata Knight Riders,field,Mumbai Indians,Wankhede Stadium,wickets,6.0,153.0
Sunrisers Hyderabad,Royal Challengers Bangalore,11,Royal Challengers Bangalore,field,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,runs,5.0,147.0
Rajasthan Royals,Kings XI Punjab,11,Rajasthan Royals,bat,Rajasthan Royals,Sawai Mansingh Stadium,runs,15.0,159.0
Mumbai Indians,Kolkata Knight Riders,11,Kolkata Knight Riders,field,Mumbai Indians,Eden Gardens,runs,102.0,211.0
Delhi Daredevils,Sunrisers Hyderabad,11,Delhi Daredevils,bat,Sunrisers Hyderabad,Arun Jaitley Stadium,wickets,9.0,188.0
Chennai Super Kings,Rajasthan Royals,11,Chennai Super Kings,bat,Rajasthan Royals,Sawai Mansingh Stadium,wickets,4.0,177.0
Delhi Daredevils,Royal Challengers Bangalore,11,Royal Challengers Bangalore,field,Royal Challengers Bangalore,Arun Jaitley Stadium,runs,31.0,246.0
Kolkata Knight Riders,Kings XI Punjab,11,Kings XI Punjab,field,Kolkata Knight Riders,Holkar Cricket Stadium,wickets,5.0,182.0
Mumbai Indians,Rajasthan Royals,11,Rajasthan Royals,field,Rajasthan Royals,Wankhede Stadium,wickets,8.0,180.0
Sunrisers Hyderabad,Chennai Super Kings,11,Chennai Super Kings,field,Chennai Super Kings,Maharashtra Cricket Association Stadium,wickets,7.0,169.0
Kings XI Punjab,Royal Challengers Bangalore,11,Royal Challengers Bangalore,field,Royal Challengers Bangalore,Holkar Cricket Stadium,wickets,10.0,89.0
Rajasthan Royals,Kolkata Knight Riders,11,Kolkata Knight Riders,field,Kolkata Knight Riders,Eden Gardens,wickets,6.0,143.0
Mumbai Indians,Kings XI Punjab,11,Kings XI Punjab,field,Mumbai Indians,Wankhede Stadium,runs,3.0,187.0
Royal Challengers Bangalore,Sunrisers Hyderabad,11,Sunrisers Hyderabad,field,Royal Challengers Bangalore,M.Chinnaswamy Stadium,runs,14.0,219.0
Delhi Daredevils,Chennai Super Kings,11,Chennai Super Kings,field,Delhi Daredevils,Arun Jaitley Stadium,runs,34.0,163.0
Rajasthan Royals,Royal Challengers Bangalore,11,Rajasthan Royals,bat,Rajasthan Royals,Sawai Mansingh Stadium,runs,30.0,165.0
Sunrisers Hyderabad,Kolkata Knight Riders,11,Sunrisers Hyderabad,bat,Kolkata Knight Riders,Rajiv Gandhi International Stadium,wickets,5.0,173.0
Kings XI Punjab,Chennai Super Kings,11,Chennai Super Kings,field,Chennai Super Kings,Maharashtra Cricket Association Stadium,runs,11.0,175.0
Delhi Daredevils,Mumbai Indians,11,Delhi Daredevils,bat,Delhi Daredevils,Arun Jaitley Stadium,wickets,5.0,154.0
Sunrisers Hyderabad,Chennai Super Kings,11,Chennai Super Kings,field,Chennai Super Kings,Wankhede Stadium,wickets,2.0,140.0
Kolkata Knight Riders,Rajasthan Royals,11,Rajasthan Royals,field,Kolkata Knight Riders,Eden Gardens,runs,25.0,170.0
Sunrisers Hyderabad,Kolkata Knight Riders,11,Kolkata Knight Riders,field,Sunrisers Hyderabad,Eden Gardens,runs,14.0,175.0
Sunrisers Hyderabad,Chennai Super Kings,11,Chennai Super Kings,field,Chennai Super Kings,Wankhede Stadium,wickets,8.0,179.0
